"IDSample","AccX","AccY","AccZ"
732,0.156,0.148,0.981
733,0.135,0.151,0.936
734,0.112,0.151,0.905
735,0.096,0.143,0.89
736,0.089,0.126,0.894
737,0.092,0.103,0.915
738,0.1,0.077,0.948
739,0.109,0.052,0.989
740,0.116,0.03,1.032
741,0.12,0.009,1.075
742,0.123,-0.008,1.113
743,0.129,-0.022,1.143
744,0.138,-0.027,1.161
745,0.154,-0.023,1.165
746,0.172,-0.011,1.157
747,0.188,0.008,1.14
748,0.193,0.029,1.121
749,0.181,0.051,1.105
750,0.149,0.069,1.095
751,0.099,0.079,1.093
752,0.04,0.078,1.096
753,-0.013,0.064,1.097
754,-0.048,0.039,1.092
755,-0.055,0.009,1.079
756,-0.034,-0.018,1.058
757,0.011,-0.036,1.033
758,0.068,-0.044,1.01
759,0.122,-0.043,0.993
760,0.163,-0.04,0.986
761,0.182,-0.037,0.99
762,0.176,-0.037,1.003
763,0.152,-0.04,1.022
764,0.12,-0.045,1.042
765,0.092,-0.049,1.06
766,0.076,-0.048,1.073
767,0.074,-0.042,1.084
768,0.082,-0.03,1.093
769,0.093,-0.014,1.104
770,0.101,0.001,1.116
771,0.104,0.013,1.128
772,0.105,0.017,1.14
773,0.11,0.014,1.148
774,0.12,0.004,1.153
775,0.135,-0.009,1.153
776,0.151,-0.021,1.149
777,0.162,-0.028,1.139
778,0.165,-0.027,1.124
779,0.161,-0.019,1.102
780,0.154,-0.004,1.076
781,0.146,0.015,1.05
782,0.14,0.037,1.027
783,0.132,0.056,1.011
784,0.12,0.071,1.005
785,0.102,0.078,1.008
786,0.078,0.078,1.016
787,0.053,0.074,1.023
788,0.033,0.068,1.025
789,0.024,0.065,1.018
790,0.024,0.064,1.001
791,0.033,0.064,0.977
792,0.047,0.062,0.947
793,0.063,0.056,0.917
794,0.082,0.049,0.888
795,0.101,0.047,0.866
796,0.121,0.051,0.855
797,0.138,0.061,0.86
798,0.148,0.073,0.883
799,0.15,0.083,0.921
800,0.142,0.09,0.969
801,0.127,0.093,1.018
802,0.113,0.095,1.057
803,0.108,0.1,1.079
804,0.121,0.106,1.08
805,0.15,0.113,1.059
806,0.189,0.121,1.019
807,0.224,0.128,0.968
808,0.243,0.133,0.915
809,0.24,0.133,0.869
810,0.216,0.126,0.836
811,0.18,0.113,0.819
812,0.142,0.099,0.819
813,0.11,0.091,0.837
814,0.087,0.093,0.867
815,0.075,0.107,0.908
816,0.069,0.126,0.951
817,0.068,0.142,0.99
818,0.071,0.146,1.015
819,0.078,0.139,1.021
820,0.089,0.124,1.004
821,0.104,0.107,0.967
822,0.12,0.091,0.918
823,0.132,0.081,0.866
824,0.134,0.078,0.82
825,0.122,0.084,0.789
826,0.099,0.099,0.777
827,0.071,0.12,0.784
828,0.045,0.138,0.807
829,0.027,0.147,0.84
830,0.02,0.141,0.878
831,0.021,0.122,0.918
832,0.024,0.094,0.957
833,0.023,0.066,0.994
834,0.017,0.045,1.024
835,0.009,0.036,1.042
836,0.007,0.038,1.041
837,0.018,0.047,1.019
838,0.045,0.056,0.977
839,0.084,0.064,0.923
840,0.124,0.072,0.867
841,0.151,0.082,0.821
842,0.152,0.095,0.793
843,0.125,0.108,0.785
844,0.074,0.12,0.792
845,0.013,0.127,0.809
846,-0.044,0.129,0.826
847,-0.084,0.125,0.84
848,-0.102,0.115,0.85
849,-0.099,0.097,0.858
850,-0.079,0.074,0.864
851,-0.047,0.052,0.866
852,-0.006,0.038,0.863
853,0.041,0.039,0.853
854,0.092,0.053,0.84
855,0.142,0.073,0.826
856,0.181,0.09,0.816
857,0.203,0.098,0.814
858,0.201,0.099,0.823
859,0.178,0.098,0.844
860,0.14,0.099,0.875
861,0.098,0.103,0.91
862,0.061,0.108,0.945
863,0.037,0.112,0.977
864,0.025,0.112,1.005
865,0.025,0.104,1.03
866,0.03,0.09,1.051
867,0.037,0.072,1.065
868,0.045,0.053,1.067
869,0.055,0.035,1.055
870,0.066,0.024,1.029
871,0.078,0.019,0.993
872,0.086,0.021,0.952
873,0.087,0.03,0.915
874,0.075,0.045,0.89
875,0.05,0.062,0.881
876,0.017,0.078,0.889
877,-0.017,0.089,0.914
878,-0.043,0.093,0.952
879,-0.053,0.089,0.995
880,-0.045,0.081,1.04
881,-0.02,0.068,1.079
882,0.014,0.052,1.109
883,0.049,0.03,1.124
884,0.079,0.006,1.121
885,0.101,-0.017,1.101
886,0.117,-0.033,1.066
887,0.126,-0.037,1.023
888,0.13,-0.032,0.98
889,0.129,-0.022,0.945
890,0.122,-0.01,0.925
891,0.11,0,0.923
892,0.098,0.008,0.938
893,0.087,0.014,0.964
894,0.083,0.021,0.992
895,0.085,0.029,1.017
896,0.09,0.038,1.032
897,0.093,0.047,1.038
898,0.086,0.055,1.035
899,0.065,0.06,1.028
900,0.026,0.061,1.019
901,-0.024,0.057,1.007
902,-0.077,0.048,0.994
903,-0.122,0.035,0.978
904,-0.15,0.02,0.961
905,-0.155,0.003,0.944
906,-0.139,-0.016,0.928
907,-0.104,-0.037,0.916
908,-0.061,-0.056,0.908
909,-0.016,-0.069,0.906
910,0.024,-0.071,0.912
911,0.053,-0.061,0.928
912,0.072,-0.042,0.953
913,0.079,-0.021,0.985
914,0.077,-0.003,1.018
915,0.068,0.006,1.047
916,0.058,0.006,1.063
917,0.051,-0.002,1.062
918,0.052,-0.012,1.04
919,0.062,-0.018,0.997
920,0.078,-0.016,0.937
921,0.095,-0.006,0.868
922,0.105,0.009,0.801
923,0.103,0.023,0.744
924,0.088,0.032,0.705
925,0.062,0.033,0.69
926,0.029,0.031,0.7
927,-0.004,0.028,0.734
928,-0.034,0.03,0.791
929,-0.057,0.035,0.865
930,-0.073,0.04,0.946
931,-0.084,0.042,1.02
932,-0.088,0.04,1.076
933,-0.083,0.035,1.104
934,-0.066,0.029,1.103
935,-0.039,0.021,1.075
936,-0.006,0.012,1.031
937,0.022,0.004,0.984
938,0.036,0.003,0.946
939,0.03,0.009,0.929
940,0.009,0.023,0.936
941,-0.019,0.037,0.966
942,-0.037,0.044,1.013
943,-0.037,0.043,1.066
944,-0.015,0.035,1.117
945,0.023,0.026,1.157
946,0.068,0.017,1.181
947,0.112,0.01,1.185
948,0.15,0.005,1.167
949,0.179,0.004,1.127
950,0.201,0.009,1.071
951,0.216,0.019,1.01
952,0.225,0.031,0.959
953,0.225,0.041,0.934
954,0.213,0.048,0.939
955,0.187,0.052,0.971
956,0.153,0.059,1.023
957,0.115,0.068,1.082
958,0.079,0.077,1.14
959,0.048,0.078,1.186
960,0.022,0.065,1.214
961,-0.003,0.037,1.22
962,-0.025,-0.001,1.201
963,-0.043,-0.041,1.161
964,-0.048,-0.073,1.109
965,-0.035,-0.093,1.054
966,-0.004,-0.098,1.005
967,0.041,-0.09,0.97
968,0.089,-0.07,0.954
969,0.127,-0.044,0.958
970,0.147,-0.017,0.981
971,0.149,0.007,1.018
972,0.135,0.026,1.059
973,0.113,0.043,1.099
974,0.087,0.058,1.131
975,0.06,0.072,1.15
976,0.034,0.082,1.151
977,0.013,0.085,1.134
